,id,yield
0,15289,4217.652539226963
1,15290,6231.397898959956
2,15291,7153.856321677437
3,15292,4599.473984199727
4,15293,4063.5118530651393
5,15294,5061.714369037815
6,15295,7165.0685531668405
7,15296,6467.094190253006
8,15297,7927.0938726880895
9,15298,4097.812292344987
10,15299,5805.543325892673
11,15300,5737.946503361107
12,15301,5483.173114286692
13,15302,6009.823357726847
14,15303,4913.881871915919
15,15304,4744.2134531991815
16,15305,4658.987135210024
17,15306,6515.332022240049
18,15307,5013.697525162624
19,15308,5885.849740461218
20,15309,6184.067964435326
21,15310,6943.867983007089
22,15311,5286.893884631173
23,15312,5319.032254404195
24,15313,6610.13365282519
25,15314,5232.807371796301
26,15315,4617.52069347568
27,15316,8029.890738176054
28,15317,5731.822469096221
29,15318,7729.428254918705
30,15319,8235.934897617517
31,15320,7081.170572948418
32,15321,6674.76068189736
33,15322,2651.9801189789564
34,15323,5835.350537098197
35,15324,2649.5313459948884
36,15325,6474.983298422407
37,15326,6336.53910359632
38,15327,4174.191708704862
39,15328,7682.077572147197
40,15329,7377.432854790139
41,15330,5238.516410982455
42,15331,5705.3904465465785
43,15332,6916.82453807343
44,15333,6297.961046276841
45,15334,5501.181393382065
46,15335,8049.3579161866965
47,15336,4366.118822051563
48,15337,7597.942877066622
49,15338,6943.669248048868
50,15339,5410.829115642771
51,15340,6771.412130599847
52,15341,5527.3508089301595
53,15342,5094.1538486856325
54,15343,6795.386824733427
55,15344,6285.027383728141
56,15345,4379.146847603415
57,15346,6245.460680306191
58,15347,6233.094399895248
59,15348,5275.208382081625
60,15349,6502.48447275919
61,15350,4616.843019900116
62,15351,5922.777480686614
63,15352,5799.156224278999
64,15353,7093.965718382659
65,15354,4466.9125007988605
66,15355,4320.057783707141
67,15356,5990.76165757937
68,15357,6755.815425856716
69,15358,7173.716162806953
70,15359,4970.146315467045
71,15360,4111.968107753274
72,15361,5518.561963885662
73,15362,6185.387766088383
74,15363,6720.170166413032
75,15364,4625.992053005318
76,15365,4410.152024980185
77,15366,4796.6031666564
78,15367,7520.285490631337
79,15368,4958.470071227339
80,15369,5883.30688380828
81,15370,6573.229947490237
82,15371,2968.8644950318344
83,15372,4705.016990809181
84,15373,6361.315657660035
85,15374,5550.331166610764
86,15375,5514.145909674887
87,15376,5577.979758033621
88,15377,5644.337729665416
89,15378,4575.166416929951
90,15379,6142.6075229439375
91,15380,7269.816311089817
92,15381,6127.2785002067085
93,15382,5509.3587897215275
94,15383,7159.401151686492
95,15384,5490.449188304937
96,15385,3744.3129752141986
97,15386,3498.804858189907
98,15387,4435.846125163239
99,15388,6930.50034548601
100,15389,6384.901153284229
101,15390,8068.0541300721725
102,15391,6664.000995371117
103,15392,7067.753606324564
104,15393,5927.3664679523845
105,15394,6405.373936189413
106,15395,5876.20302264929
107,15396,7043.3709788840515
108,15397,6884.362423802531
109,15398,5915.140588640506
110,15399,5755.914454047855
111,15400,4859.462963298415
112,15401,6397.929734599294
113,15402,6386.550467305064
114,15403,6549.031830027891
115,15404,7049.661546662677
116,15405,7179.187651969798
117,15406,8172.381832698268
118,15407,5965.573511604782
119,15408,7612.696426683661
120,15409,5558.324559282791
121,15410,5920.642761317051
122,15411,8225.464561311597
123,15412,6571.694019219035
124,15413,6904.464587835706
125,15414,5843.68058001998
126,15415,6160.795414593551
127,15416,6977.268527008346
128,15417,5843.7797009563665
129,15418,7529.586857415971
130,15419,4533.656342342516
131,15420,4086.7095462662996
132,15421,6309.691557427687
133,15422,3712.7287712079424
134,15423,6428.738653681185
135,15424,6475.0501326245585
136,15425,7069.823753844881
137,15426,3717.5523337620557
138,15427,7765.248208227104
139,15428,6365.26812073194
140,15429,7427.137814807243
141,15430,7216.807957548293
142,15431,5698.377432520215
143,15432,5346.917554093449
144,15433,4750.223403614281
145,15434,8212.262438511172
146,15435,4029.786126786249
147,15436,4840.256665379745
148,15437,4968.820429796515
149,15438,5441.836827162113
150,15439,6494.9895498448295
151,15440,5742.834936678393
152,15441,6717.468571516004
153,15442,5404.440132345694
154,15443,4803.975144336374
155,15444,5799.413381386861
156,15445,3483.502036674995
157,15446,6778.352850103557
158,15447,6480.9926507950195
159,15448,8047.551593715469
160,15449,8148.233991837251
161,15450,7144.35844909178
162,15451,5324.568292863716
163,15452,4438.835377641828
164,15453,7452.739332541741
165,15454,6671.286304115689
166,15455,8358.415799753036
167,15456,6604.79416276314
168,15457,6267.44395898678
169,15458,5559.1522585276525
170,15459,6479.407949345741
171,15460,5700.875007779823
172,15461,4952.386579787324
173,15462,5442.480726311383
174,15463,6623.941888893447
175,15464,6320.496053515613
176,15465,6808.192110054477
177,15466,7317.900884651868
178,15467,7187.27017208082
179,15468,3405.4522624994256
180,15469,2700.077278575109
181,15470,7314.758465879941
182,15471,7324.043214841384
183,15472,7073.395944478298
184,15473,5289.114284730755
185,15474,6766.02255165926
186,15475,5000.968049620051
187,15476,5424.439458866446
188,15477,5680.335738770833
189,15478,4650.17499746933
190,15479,7243.871274159942
191,15480,7053.022692253753
192,15481,6526.145603854564
193,15482,6367.241778922979
194,15483,6927.621970733475
195,15484,6567.738022040187
196,15485,7328.178286987963
197,15486,6346.213541706032
198,15487,7672.703674145143
199,15488,6495.017016485209
200,15489,5662.494598960037
201,15490,6625.628698007871
202,15491,6447.947569602706
203,15492,6022.130568535753
204,15493,7528.389713975766
205,15494,6386.125544484734
206,15495,6938.543677485433
207,15496,6727.9965008051495
208,15497,4629.324807717585
209,15498,6552.3110946377765
210,15499,6925.045253325709
211,15500,7549.387761002297
212,15501,5366.917158343433
213,15502,7368.013255879216
214,15503,7372.498658046917
215,15504,6441.402280354718
216,15505,6451.541286292908
217,15506,4432.5693270761785
218,15507,4434.560150538398
219,15508,6223.73568386028
220,15509,3919.8889028610756
221,15510,5121.579932743557
222,15511,6444.527037195136
223,15512,5411.563547529808
224,15513,6932.4013649822855
225,15514,7892.121436133215
226,15515,6421.026534413477
227,15516,5152.91512052271
228,15517,7991.646478770126
229,15518,7326.917639380268
230,15519,7121.823743466537
231,15520,5403.227958794126
232,15521,6499.9331906269545
233,15522,6704.045777023637
234,15523,6868.340601633366
235,15524,6984.3743521293745
236,15525,5488.020025073635
237,15526,5734.790269056567
238,15527,4386.056336135387
239,15528,3755.4154035619504
240,15529,7432.509025422975
241,15530,6791.934634036043
242,15531,6551.063189606071
243,15532,7318.372994927731
244,15533,4869.080166397818
245,15534,8121.9433705664605
246,15535,3566.086801380278
247,15536,6939.219310811207
248,15537,5602.134834326558
249,15538,6522.137500078888
250,15539,7157.368872475752
251,15540,6221.796764269477
